ISLAMIINS,01-01-2019,21.9,22.8,21.7,22.2,290985,,
ISNLTD,01-01-2019,26.7,27,26.4,26.5,37137,,
ITC,01-01-2019,47,47.6,46.1,47.3,509570,,
JAMUNABANK,01-01-2019,18.2,18.7,17.8,18.1,3127453,,
JAMUNAOIL,01-01-2019,179,182,178,180.8,170269,,
JANATAINS,01-01-2019,13.4,13.9,13.3,13.6,81014,,
JMISMDL,01-01-2019,259.7,276.3,256.2,276.3,416409,,
JUTESPINN,01-01-2019,125,134.9,125,131.1,854,,
KARNAPHULI,01-01-2019,16,16.2,15.7,16,40166,,
KAY&QUE,01-01-2019,185,185,182,183.5,9047,,
KBPPWBIL,01-01-2019,12,12.2,11.8,12,367579,,
KDSALTD,01-01-2019,52.5,54.6,52.5,54.1,242723,,
KEYACOSMET,01-01-2019,6.5,6.6,6.1,6.2,5107708,,
KOHINOOR,01-01-2019,371.5,372,366.1,368.4,9430,,
KPCL,01-01-2019,60,64.7,60,64.5,2558781,,
KPPL,01-01-2019,20.2,20.8,19.9,20.6,228435,,
KTL,01-01-2019,25.5,27.4,25.5,27.2,1250587,,
LANKABAFIN,01-01-2019,23.3,23.6,23.1,23.5,905699,,
LEGACYFOOT,01-01-2019,193.9,193.9,188.5,190.6,72760,,
LHBL,01-01-2019,43.7,44,43.1,43.7,505062,,
LIBRAINFU,01-01-2019,999.9,1013.5,979.3,984.2,14488,,
LINDEBD,01-01-2019,1181,1200,1181,1196.3,1809,,
LRGLOBMF1,01-01-2019,6.9,6.9,6.9,6.9,27698,,
MAKSONSPIN,01-01-2019,7.7,7.9,7.6,7.8,728715,,
MALEKSPIN,01-01-2019,17.4,17.9,17.2,17.8,142651,,
MARICO,01-01-2019,1175.2,1218.5,1175.2,1194.9,38,,
MATINSPINN,01-01-2019,39.2,39.8,39.2,39.4,65900,,
MBL1STMF,01-01-2019,7.2,7.2,7.2,7.2,9492,,
MEGCONMILK,01-01-2019,27.6,27.9,25,26.8,72097,,
MEGHNACEM,01-01-2019,93.5,93.5,92.5,92.9,22986,,
MEGHNALIFE,01-01-2019,79.4,80,78,78.4,421859,,
MEGHNAPET,01-01-2019,18,18,17.1,17.5,19522,,
MERCANBANK,01-01-2019,18,18.3,17.7,18,3232285,,
MERCINS,01-01-2019,23.2,23.4,22.5,23.2,134956,,
METROSPIN,01-01-2019,8.1,8.4,8,8.2,377824,,
MHSML,01-01-2019,12.9,13.3,12.6,13.1,320627,,
MICEMENT,01-01-2019,69.4,71,69.2,70.2,1705,,
MIDASFIN,01-01-2019,25.3,25.6,24.6,25.4,232173,,
MIRACLEIND,01-01-2019,36.4,36.7,35.7,36.4,361732,,
MITHUNKNIT,01-01-2019,19.4,19.4,18.6,19,19190,,
MJLBD,01-01-2019,99,101,98.1,99.1,117090,,
MLDYEING,01-01-2019,30.2,32.6,30,32.6,1302097,,
MONNOCERA,01-01-2019,245.9,252.1,236.6,245.8,181159,,
MONNOSTAF,01-01-2019,1528,1570,1432.5,1435,45224,,
MPETROLEUM,01-01-2019,188.1,190,187.2,188.7,20795,,
MTB,01-01-2019,35.4,35.8,35,35.7,709471,,
NAHEEACP,01-01-2019,59.9,61.4,59,61.1,566135,,
NATLIFEINS,01-01-2019,218,218,201,202.8,237126,,
NAVANACNG,01-01-2019,48.1,48.8,47.8,48.2,129555,,
NBL,01-01-2019,9.6,9.7,9.3,9.6,3288964,,
NCCBANK,01-01-2019,16,16.3,15.9,16.2,204700,,
NCCBLMF1,01-01-2019,6.9,7,6.9,6.9,167200,,
NFML,01-01-2019,11.2,11.5,11.1,11.4,109125,,
NHFIL,01-01-2019,48.1,49.3,47.5,48.6,641443,,
NITOLINS,01-01-2019,28.7,29,28.7,28.9,4200,,
NORTHERN,01-01-2019,1242,1242,1201,1205.1,953,,
NORTHRNINS,01-01-2019,17.8,18.7,17.8,18.3,40800,,
NPOLYMAR,01-01-2019,71.8,72,70.6,71.7,68913,,
NTC,01-01-2019,785,799.9,775,776.9,26154,,
NTLTUBES,01-01-2019,104.1,107.1,103.8,106.8,152228,,
NURANI,01-01-2019,16.3,17,16.1,16.7,853436,,
OAL,01-01-2019,13,13.2,12.6,13.1,687727,,
OIMEX,01-01-2019,37.7,38.7,37.7,38.4,244024,,
OLYMPIC,01-01-2019,216.6,220.8,216.6,219.6,48933,,
ONEBANKLTD,01-01-2019,15.3,15.4,15,15.1,1506953,,
ORIONINFU,01-01-2019,53.6,54.7,53,54.4,93533,,
ORIONPHARM,01-01-2019,36.8,37,36.2,37,35482,,
PADMALIFE,01-01-2019,25.6,26,25.3,26,48163,,
PADMAOIL,01-01-2019,225,226.8,224,224.7,2742,,
PARAMOUNT,01-01-2019,17.6,19,17.5,18.9,478716,,
PDL,01-01-2019,16.3,17,16.2,16.7,1564884,,
PENINSULA,01-01-2019,29.5,31.4,29.5,30.8,2576914,,
